biotopo	biologia	2.15
magma	vulcano	2.5
brainstorming	telescopio	0.0
livello	punteggio	2.1
centesimo	affare	0.9
partito politico	associazione	1.45
tsunami	mare	2.5
struzzo	frutteto	0.0
cannella	caramella	1.25
scopa	polvere	1.3
galassia	astronomo	1.0
succo	frappè	1.0
tapparella	tenda	2.25
criminale	colpevole	3.0
cancro al pancreas	chemioterapia	2.2
passato	antecedente	3.85
Nazioni Unite	Parlamento Europeo	1.75
canzone	esecutore	1.0
pistola	taccuino	0.0
acetilcolina	iride	0.5
alfabeto	penna	0.35
coro	cantante	2.0
legno	coperta	0.0
soldato	pace	0.5
inglese	americano	2.05
lucertola	coccodrillo	3.0
denaro	contante	    4.0
Polpo Paul	polpo	3.65
calendario	vacanza	0.5
base	sostanza chimica	0.8
governo	lucertola	0.0
JPY	riciclaggio di denaro	1.5
DeepMind	Google DeepMind	3.75
scacchi	scacco al re	2.25
sonetto	bellezza	0.5
lavoratore	ufficio	1.1
valuta	scambio	1.4
poliestere	cotone	0.5
tribunale	giustizia	2.25
coda	retro	0.8
incidente	libro	0.0
groppo	vento	3.0
piano	armonia	0.8
sultano	ministero	0.35
deserto	duna	2.0
moltiplicazione	divisione	2.5
virus	sangue	1.0
era glaciale	statuto	0.0
spada	ambiente	0.0
scuola elementare	penna	0.8